age_range,race,county,sex
10-19,American Indian/Alaskan Native,Minnehaha,Male
10-19,American Indian/Alaskan Native,Pennington,Male
10-19,Black,Minnehaha,Male
10-19,Unknown,Grant,Male
10-19,White,Meade,Female
10-19,White,Meade,Female
20-29,American Indian/Alaskan Native,Pennington,Male
