agency,county,source
Murdo Police Dept,Jones,municipal
New Effington Police Dept,Roberts,municipal
Newell Police Dept,Butte,municipal
North Sioux City Police Dept,Union,municipal
Oglala Lakota Co. Sheriff's Office,Oglala Lakota,sheriff
Onida Police Dept,Sully,municipal
Parker Police Dept,Turner,municipal
Parkston Police Dept,Hutchinson,municipal
Pennington Co. Sheriff's Office,Pennington,sheriff
Perkins Co. Sheriff's Office,Perkins,sheriff
Philip PD,Haakon,municipal
Pierre Police Dept,Hughes,municipal
Pine Ridge Oglala Sioux Tribal PD,Pine Ridge Oglala Sioux Tribal PD,tribal
Platte Police Dept,Charles Mix,municipal
Potter Co. Sheriff's Office,Potter,sheriff
Rapid City Police Dept,Pennington,municipal
Raymond PD,Clark,municipal
Redfield PD,Spink,municipal
Roberts Co. Sheriff's Office,Roberts,sheriff
Rosebud Sioux Tribal Police Dept,Rosebud Sioux Tribal Police Dept,tribal
Rosholt PD,Roberts,municipal
Salem Police Dept,McCook,municipal
Sanborn Co. Sheriff's Office,Sanborn,sheriff
Scotland Police Dept,Bon Homme,municipal
SDPEN MP,Statewide / not county-specific,special
SDSM&T UPD Police Dept,Pennington,campus
SDSU Police Dept,Brookings,campus
Selby Police Dept,Walworth,municipal
Sioux Falls Police Dept,Minnehaha,municipal
Sisseton Police Dept,Roberts,municipal
Sisseton Whapeton Oyate Tribal PD,Sisseton Whapeton Oyate Tribal PD,tribal
Spearfish Police Dept,Lawrence,municipal
Spencer Police Dept,McCook,municipal
Spink Co. Sheriff's Office,Spink,sheriff
Springfield Police Dept,Bon Homme,municipal
Stanley Co. Sheriff's Office,Stanley,sheriff
State Radio Communications,Statewide / not county-specific,special
Sturgis Police Dept,Meade,municipal
Sully Co. Sheriff's Office,Sully,sheriff
Summerset Police Dept,Meade,municipal
Summit Police Dept,Roberts,municipal
Tabor Police Dept,Bon Homme,municipal
Tea Police Dept,Lincoln,municipal
Timber Lake Police Dept,Dewey,municipal
Todd Co. Sheriff's Office,Todd,sheriff
Toronto Police Dept,Deuel,municipal
Tripp Co. Sheriff's Office,Tripp,sheriff
Tripp Police Dept,Hutchinson,municipal
Turner Co. Sheriff's Office,Turner,sheriff
Tyndall Police Dept,Bon Homme,municipal
Union Co. Sheriff's Office,Union,sheriff
USD Police Dept,Clay,campus
Vermillion Police Dept,Clay,municipal
Veterans Affairs Police Department - SF,Minnehaha,campus
Viborg Police Dept,Turner,municipal
Vienna Police Dept,Clark,municipal
Wagner Police Dept,Charles Mix,municipal
Wall Police Dept,Pennington,municipal
Walworth Co. Sheriff's Office,Walworth,sheriff
Watertown Police Dept,Codington,municipal
Waubay Police Dept,Day,municipal
Webster Police Dept,Day,municipal
Wessington Springs Police Dept,Jerauld,municipal
White River Police Dept,Mellette,municipal
Whitewood Police Dept,Lawrence,municipal
Wilmot Police Dept,Roberts,municipal
Winner Police Dept,Tripp,municipal
Women's Prison WP,Statewide / not county-specific,special
Woonsocket Police Dept,Sanborn,municipal
Worthing Police Dept,Lincoln,municipal
Yankton Co. Sheriff's Office,Yankton,sheriff
Yankton Police Dept,Yankton,municipal
YANKTON SIOUX TRIBAL PD,Yankton Sioux Tribal Police Dept,tribal
Yankton Sioux Tribal Police Dept,Yankton Sioux Tribal Police Dept,tribal
Yankton Tribal Police Dept,Yankton Sioux Tribal Police Dept,tribal
Ziebach Co. Sheriff's Office,Ziebach,sheriff
