age_range,race,county,sex
10-19,Asian or Pacific Islander,Polk,Male
10-19,Black,Linn,Male
10-19,Black,Linn,Male
10-19,Black,Polk,Female
10-19,Black,Scott,Female
10-19,White,Appanoose,Female
10-19,White,Jackson,Male
10-19,White,Johnson,Female
10-19,White,Polk,Female
10-19,White,Polk,Female
10-19,White,Polk,Male
10-19,White,Scott,Female
10-19,White,Scott,Male
10-19,White,Unknown,Female
10-19,White,Unknown,Male
20-29,Black,Polk,Female
