agency,county
"BETTENDORF PD, BETTENDORF",Scott
"CEDAR FALLS PD, CEDAR FALLS",Black Hawk
"CEDAR RAPIDS PD, CEDAR RAPIDS",Linn
"DAVENPORT PD, DAVENPORT",Scott
"DES MOINES PD, DES MOINES",Polk
"LE CLAIRE PD, LE CLAIRE",Scott
"POLK COUNTY SO, DES MOINES",Polk
"SIOUX CITY PD, SIOUX CITY",Woodbury
"URBANDALE PD, URBANDALE",Polk
"WATERLOO PD, WATERLOO",Black Hawk
"WAUKEE PD, WAUKEE",Dallas
"WEBSTER CO LEC, FT DODGE",Webster
