age_range,race,county,sex
10-19,American Indian/Alaskan Native,Pennington,Female
10-19,American Indian/Alaskan Native,Pennington,Male
10-19,American Indian/Alaskan Native,Pennington,Male
10-19,Unknown,Bon Homme,Male
10-19,White,Minnehaha,Female
20-29,American Indian/Alaskan Native,Cheyenne River Sioux Tribal PD,Female
20-29,American Indian/Alaskan Native,Pennington,Male
